name,alias,coarse_categories,fine_categories,cuisines,associated_cuisines,area,countries,region1,region2,region3,region4,region5,text_description
Rawon,[{'ꦫꦮꦺꦴꦤ꧀': 'Javanese'}],['soup'],['beef soup'],['Indonesian'],['Indonesian' 'Singaporean'],['Surabaya' 'Malang' 'Ponorogo' 'East Java'],['Indonesia'],South Eastern Asia,,,,,"The soup is composed of a ground mixture of garlic, shallots, star anise, ginger, candlenut, turmeric, red chili, and salt and is sautéed with oil."
Soto Betawi,[{'no_alias': True}],['soup'],['beef soup'],['Indonesian'],['Indonesian'],['Jakarta' 'Java'],['Indonesia'],South Eastern Asia,,,,,"The soup is made of beef or beef offal, cooked in a cow milk or coconut milk broth, with fried potato and tomato."
Soto Bandung,[{'no_alias': []}],['soup'],['beef soup'],['Indonesian'],['Indonesian' 'Malaysian' 'Singaporean' 'Bruneian' 'Dutch' 'Surinamese'],['Bandung'],['Indonesia'],South Eastern Asia,,,,,"The soup is a clear beef soto that has pieces of meat, white radish, and fried soybeans."
Soto Banjar,[{'no_alias': []}],['soup'],['soup'],['Indonesian'],['Indonesian' 'Malaysian' 'Singaporean' 'Bruneian' 'Dutch' 'Surinamese'],['Banjarmasin'],['Indonesia'],South Eastern Asia,,,,,"The soup is spiced with star anise, clove, cassia and lemongrass, and sour hot sambal, served with potato cakes."
Gulai,"[{'guleh': 'Javanese-Surinamese'}, {'no_alias': 'not_stated'}]",['stew'],['curry'],['Indonesian'],['Indonesian' 'Malaysian' 'Singaporean' 'Bruneian' 'Thai'],['Minangkabau'],['Indonesia'],South Eastern Asia,,,,,"The spicy and rich stew where the main ingredients of this dish are usually poultry, goat meat, beef, mutton, various kinds of offal, fish and seafood, as well as vegetable such as cassava leaves, unripe jackfruit and banana stem."
Kare-kare,[{'name': 'no_alias'}],['stew'],['curry'],['Filipino'],['Filipino'],['Philippines'],['Philippines'],South Eastern Asia,,,,,The stew that features a thick savory peanut sauce.
Pindang patin,[{'no_alias': 'not_stated'}],['soup'],['fish soup'],['Indonesian'],['Indonesian'],['Palembang'],['Indonesia'],South Eastern Asia,,,,,This spicy and savory soup where the main ingredients of this dish are usually catfish with herbs and spices
Chicken tikka masala,[{'name': 'no_alias'}],['stew'],['curry'],['Indian Subcontinent' 'British'],['Indian Subcontinent' 'British'],['United Kingdom'],"['United Kingdom' 'Afghanistan' 'Bangladesh' 'Bhutan' 'India' 'Maldives'
 'Nepal' 'Pakistan' 'Sri Lanka']",Southern Asia,Northern Europe,,,,The stew consists of roasted marinated chicken chunks in a spiced sauce.
Chicken tikka,"[{'tike': 'Turkish'}, {'tikə': 'Azerbaijani'}]",['meat'],['baked chicken'],['Indian Subcontinent'],['Indian' 'Bangladeshi' 'Pakistani'],['India' 'Bangladesh' 'Pakistan'],"['India' 'Bangladesh' 'Pakistan' 'Afghanistan' 'Bangladesh' 'Bhutan'
 'India' 'Maldives' 'Nepal' 'Pakistan' 'Sri Lanka']",Southern Asia,,,,,The dish is small pieces of boneless chicken baked using skewers on a brazier.
Saag,"[{'Saag': 'Hindustani'}, {'Sag': 'not_stated'}, {'Jairish ki dish': 'not_stated'}, {'Jairish ki dish': 'not_stated'}]",['stew'],['curry'],['Indian Subcontinent'],['Indian Subcontinent'],['Punjab'],['India'],Southern Asia,,,,,"The stew is leafy vegetable dish eaten with bread. It can be made from mustard greens, collard greens, basella or finely chopped broccoli along with added spices and sometimes other ingredients, such as chhena. "
Dhansak,[{'no_alias': []}],['stew'],['curry'],['Indian'],['Indian' 'Parsi'],['Gujarat'],['India'],Southern Asia,,,,,The stew is made by cooking mutton or goat meat with a mixture of lentils and vegetable
Palak paneer,"[{'palak chhena': 'not_stated'}, {'palak': 'Hindi, Marathi, Gujarati, and other Indian languages'}]",['stew'],['curry'],['Indian'],['Indian'],['India'],['India'],Southern Asia,,,,,The stew in a thick paste made from puréed spinach.
Dal Makhani,"[{""no_alias"": true}]",['stew'],['curry'],['Indian'],['Indian'],['Delhi'],['India'],Southern Asia,,,,,"The stew is a modern variation of traditional lentil dishes, it is made with black lentils and other pulses, and includes butter and cream."
Nasi Uduk,[{'Indonesian': 'nasi uduk'}],['rice'],['coconut rice' 'mixed rice'],['Indonesian'],['Indonesian'],['Jakarta'],['Indonesia'],South Eastern Asia,,,,,Steamed rice cooked in coconut milk dish
Nasi Lemak,"[{'ناسي لمق‎': 'Jawi'}, {'nasi lemak': 'Malay'}]",['rice'],['coconut rice' 'mixed rice'],['Malaysian'],['Malaysian'],"['Peninsular Malaysia' 'Sumatra' 'Medan' 'Riau' 'Riau Islands' 'Palembang'
 'Indonesia' 'Singapore' 'Brunei' 'Southern Philippines'
 'Southern Thailand' 'Cocos (Keeling) Islands' 'Christmas Island'
 'Australia']",['Malaysia'],South Eastern Asia,,,,,The dish consists of fragrant rice cooked in coconut milk and pandan leaf
