food_code,food_name,tags
A001,"Amaranth seed, black","moderate_protein,moderate_fiber,high_iron,moderate_calcium,low_sodium,heart_healthy"
A002,"Amaranth seed, pale brown","moderate_protein,moderate_fiber,high_iron,moderate_calcium,low_sodium,heart_healthy"
A003,Bajra,"moderate_protein,high_fiber,moderate_iron,low_sodium,heart_healthy"
A004,Barley,"moderate_protein,high_fiber,low_sodium,heart_healthy"
A005,Jowar,"moderate_protein,high_fiber,low_sodium,heart_healthy"
A006,"Maize, dry","moderate_protein,high_fiber,low_sodium,heart_healthy"
A007,"Maize, tender, local","moderate_folate,low_sodium"
A008,"Maize, tender, sweet","moderate_folate,low_sodium"
A009,Quinoa,"moderate_protein,high_fiber,moderate_iron,moderate_calcium,high_folate,low_sodium,heart_healthy"
A010,Ragi,"high_fiber,moderate_iron,high_calcium,low_sodium,heart_healthy"
A011,Rice flakes,"moderate_iron,low_sodium"
A012,Rice puffed,"moderate_iron,low_sodium"
A013,"Rice, raw, brown","moderate_protein,moderate_fiber,low_sodium"
A014,"Rice, parboiled, milled",low_sodium
A015,"Rice, raw, milled",low_sodium
A016,Samai,"moderate_protein,moderate_fiber,low_sodium,heart_healthy"
A017,Varagu,"moderate_protein,moderate_fiber,low_sodium,heart_healthy"
A018,"Wheat flour, refined","moderate_protein,low_sodium"
A019,"Wheat flour, atta","moderate_protein,high_fiber,moderate_iron,low_sodium,heart_healthy"
A020,"Wheat, whole","moderate_protein,high_fiber,low_sodium,heart_healthy"
A021,"Wheat, bulgur","moderate_protein,high_fiber,low_sodium,heart_healthy"
A022,"Wheat, semolina","moderate_protein,high_fiber,low_sodium,heart_healthy"
A023,"Wheat, vermicelli","moderate_protein,high_fiber,low_sodium,heart_healthy"
A024,"Wheat, vermicelli, roasted","moderate_protein,high_fiber,low_sodium,heart_healthy"
B001,"Bengal gram, dal","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B002,"Bengal gram, whole","high_protein,high_fiber,moderate_iron,moderate_calcium,high_folate,low_sodium,heart_healthy"
B003,"Black gram, dal","high_protein,high_fiber,moderate_iron,moderate_folate,low_sodium,heart_healthy"
B004,"Black gram, whole","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B005,"Cowpea, brown","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B006,"Cowpea, white","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B007,"Field bean, black","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B008,"Field bean, brown","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B009,"Field bean, white","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B010,"Green gram, dal","high_protein,high_fiber,moderate_folate,low_sodium,heart_healthy"
B011,"Green gram, whole","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B012,"Horse gram, whole","high_protein,moderate_fiber,high_iron,high_calcium,high_folate,low_sodium,heart_healthy"
B013,Lentil dal,"high_protein,high_fiber,moderate_iron,low_sodium,heart_healthy"
B014,"Lentil whole, brown","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B015,"Lentil whole, yellowish","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B016,Moth bean,"high_protein,high_fiber,moderate_iron,moderate_calcium,high_folate,low_sodium,heart_healthy"
B017,"Peas, dry","high_protein,high_fiber,moderate_iron,high_folate,low_sodium,heart_healthy"
B018,"Rajmah, black","high_protein,high_fiber,moderate_iron,moderate_calcium,high_folate,low_sodium,heart_healthy"
B019,"Rajmah, brown","high_protein,high_fiber,moderate_iron,moderate_calcium,high_folate,low_sodium,heart_healthy"
B020,"Rajmah, red","high_protein,high_fiber,moderate_iron,moderate_calcium,high_folate,low_sodium,heart_healthy"
B021,"Red gram, dal","high_protein,high_fiber,high_folate,low_sodium,heart_healthy"
B022,"Red gram, whole","high_protein,high_fiber,moderate_iron,moderate_calcium,high_folate,low_sodium,heart_healthy"
B023,Ricebean,"high_protein,high_fiber,moderate_iron,high_calcium,high_folate,low_sodium,heart_healthy"
B024,"Soya bean, brown","high_protein,high_fiber,high_iron,high_calcium,high_folate,low_sodium"
B025,"Soya bean, white","high_protein,high_fiber,high_iron,moderate_calcium,high_folate,low_sodium"
C001,Agathi leaves,"moderate_protein,high_fiber,moderate_iron,high_calcium,high_vitamin_c,high_folate,low_sodium,heart_healthy"
C002,"Amaranth leaves, green","moderate_fiber,moderate_iron,high_calcium,high_vitamin_c,moderate_folate,low_sodium"
C003,"Amaranth leaves, red mix","moderate_fiber,moderate_iron,high_calcium,high_vitamin_c,moderate_folate,low_sodium"
